name,frequency,columns,internal_name,version
"bu_copygroups","DAILY","CHG_ADMIN;CHG_TIME;CLASS_NAME;COPYGROUP_NAME;DESTINATION;DOMAIN_NAME;FREQUENCY;MODE;PROFILE;RETEXTRA;RETONLY;SERIALIZATION;SET_NAME;TOC_DESTINATION;VERDELETED;VEREXISTS","BU_COPYGROUPS",1
"spacemgfiles","NEVER","CLASS_NAME;DELETE_DATE;EXTOBJID;FILE_NAME;FILESPACE_NAME;INSERT_DATE;NODE_NAME;OBJECT_ID;STATE","SPACEMGFILES",1
"db","HOURLY","BUFF_HIT_RATIO;DATABASE_NAME;FREE_PAGES;FREE_SPACE_MB;FULL_DEV_CLASS;LAST_BACKUP_DATE;LAST_REORG;NUM_BACKUP_INCR;NUM_BACKUP_STREAMS;PHYSICAL_VOLUMES;PKG_HIT_RATIO;SORT_OVERFLOW;TOT_FILE_SYSTEM_MB;TOTAL_BUFF_REQ;TOTAL_PAGES;USABLE_PAGES;USED_DB_SPACE_MB;USED_PAGES","DB",1
"drmrecoverymedia","NEVER","DESCRIPTION;LOCATION;PRODUCT;PRODUCT_INFO;RECMEDIA_NAME;TYPE;VOLUMES","DRMRECOVERYMEDIA",1
"ar_copygroups","DAILY","CHG_ADMIN;CHG_TIME;CLASS_NAME;COPYGROUP_NAME;DESTINATION;DOMAIN_NAME;PROFILE;RETINIT;RETMIN;RETVER;SERIALIZATION;SET_NAME","AR_COPYGROUPS",1
"script_names","NEVER","CHG_ADMIN;CHG_TIME;DESCRIPTION;NAME;PROFILE","SCRIPT_NAMES",1
"licenses","NEVER","AUDIT_DATE;COMPLIANCE;DATARET_ACT;DATARET_LIC;DOMINO_ACT;DOMINO_TRYBUY;EMCSYMM_ACT;EMCSYMM_TRYBUY;EMCSYMR3_ACT;EMCSYMR3_TRYBUY;ESS_ACT;ESS_TRYBUY;ESSR3_ACT;ESSR3_TRYBUY;INFORMIX_ACT;INFORMIX_TRYBUY;LNOTES_ACT;LNOTES_TRYBUY;MSEXCH_ACT;MSEXCH_TRYBUY;MSSQL_ACT;MSSQL_TRYBUY;ORACLE_ACT;ORACLE_TRYBUY;SAPR3_ACT;SAPR3_TRYBUY;TRYBUY_DAYS;TSMBASIC_ACT;TSMBASIC_LIC;TSMEE_ACT;TSMEE_LIC;WAS_ACT;WAS_TRYBUY","LICENSES",1
"activity_summary","DAILY","ACTIVITY;ADDRESS;AFFECTED;BYTES;COMM_WAIT;COMMMETH;DRIVE_NAME;END_TIME;ENTITY;EXAMINED;FAILED;IDLE;LAST_USE;LIBRARY_NAME;MEDIAW;NUM_OFFSITE_VOLS;NUMBER;PROCESSES;SCHEDULE_NAME;START_TIME;SUCCESSFUL;VOLUME_NAME","ACTIVITY_SUMMARY",1
"drmmachinechars","NEVER","CHARACTERISTICS;MACHINE_NAME","DRMMACHINECHARS",1
"volumes","HOURLY","ACCESS;BEGIN_RCLM_DATE;BLOCK_PROTECT;CHG_ADMIN;CHG_TIME;DEVCLASS_NAME;END_RCLM_DATE;ERROR_STATE;EST_CAPACITY_MB;LAST_READ_DATE;LAST_WRITE_DATE;LOCATION;MVSLF_CAPABLE;NUM_SIDES;PCT_RECLAIM;PCT_UTILIZED;PENDING_DATE;READ_ERRORS;SCALEDCAP_APPLIED;SCRATCH;STATUS;STGPOOL_NAME;TIMES_MOUNTED;VOL_ENCR_KEYMGR;VOLUME_NAME;WRITE_ERRORS;WRITE_PASS","VOLUMES",1
"drmtrpf","NEVER","DEVCLASS_NAME;MGMTCLASS_NAME;NODE_NAME;RPF_DELDATE;RPF_DELETE;RPF_NAME;RPF_SIZE;TYPE","DRMTRPF",1
